"Name","Average coverage","Reference length"
"287","3.136","392744"
"288","1890.52","1928"
"289","36.103","118383"
"290","1116.289","1180"
"291","19.168","21510"
"292","66.573","8499"
"293","3.584","1192"
"294","7.813","1336"
"295","38.597","10333"
"296","17.038","1504"
"297","0.934","94103"
"298","8.879","29112"
"299","10.471","9244"
"300","0.736","618239"
"301","8.454E-3","58669"
"302","10.403","2424"
"303","1.164","4439"
"304","53.092","77625"
"305","0.088","4858"
"306","38.668","5337"
"307","18.133","690123"
"308","81.85","10292"
"309","7.011","17689"
"310","3.685","319911"
"311","1600.382","3016"
"312","0.697","34446"
"313","703.501","1396"
"314","0.144","6278"
"315","35.513","9707"
"316","49.826","29095"
"317","0.447","24783"
"318","3.292","66844"
"319","225.209","2612"
"320","8.137","2048"
"321","1.604","2768"
"322","19.009","4935"
"323","1308.835","3100"
"324","37.208","3731"
"325","13.529","1983"
"326","17.961","1223"
"327","43.451","266838"
"328","38.521","41324"
"329","49.56","4099"
"330","0.332","1987"
"331","0.841","1312"
"332","303.641","110748"
"333","1.127","8097"
"334","12.971","128484"
"335","57.598","21757"
"336","46.72","17785"
"337","1.201","12138"
"338","52.97","5364"
"339","10.358","5146"
"340","25.684","8734"
"341","974.158","1573"
"342","10.296","119533"
"343","0.083","3598"
"344","26.333","2751"
"345","299.379","95665"
"346","0","3129"
"347","29.827","106174"
"348","4.001","6729"
"349","7.67","1852"
"350","10.268","53122"
"351","202.532","3753"
"352","0.411","4768"
"353","0","3955"
"354","1428.303","1646"
"355","0","2173"
"356","9.925","18497"
"357","42.817","3338"
"358","2.854","63634"
"359","2628.601","1551"
"360","0","4192"
"361","3.977","13762"
"362","34.104","102418"
"363","4.188","42522"
"364","108.774","1896"
"365","376.318","2493"
"366","3.446","27827"
"367","83.106","5652"
"368","0.119","63343"
"369","1765.867","1139"
"370","1.041","23349"
"371","7.794","8535"
"372","29.079","4674"
"373","47.401","3847"
"374","1.624","10445"
"375","9.44","17146"
"376","9.591","3702"
"377","29.121","5625"
"378","3.812","335789"
"379","9.299","21315"
"380","449.588","6598"
"381","3.503","1444"
"382","1.273","7131"
"383","338.181","113083"
"384","183.031","5452"
"385","10.526","71072"
"386","22.544","267536"
"387","47.19","12458"
"388","0.682","40601"
"389","26.175","4448"
"390","12.359","5295"
"391","0.123","141187"
"392","0.163","3398"
"393","44.585","11910"
"394","0.745","16856"
"395","2.56","441570"
"396","1897.363","1939"
"397","2.262","1346"
"398","1718.453","1533"
"399","66.774","45791"
"400","0.714","4271"
"401","12.152","18403"
"402","0.75","131655"
"403","57.352","3000"
"404","8.301","2249"
"405","1535.382","2654"
"406","1643.67","3400"
"407","0.456","410260"
"408","2.445","2492"
"409","1.568","1577"
"410","0","3438"
"411","3.347","9673"
"412","33.115","24839"
"413","0.99","464646"
"414","19.025","2114"
"415","0","4808"
"416","4.38","33668"
"417","4.748","35364"
"418","36.908","1635"
"419","1.628","9371"
"420","112.354","2399"
"421","386.111","1588"
"422","45.999","41501"
"423","11.078","4697"
"424","43.869","7583"
"425","37.839","14179"
"426","6.969","19591"
"427","218.054","4718"
"428","19.906","2694"
"429","32.876","2701"
"430","3.877","197348"
"431","14.415","6910"
"432","29.708","7569"
"433","6.729","1866"
"434","52.262","15851"
"435","2.008","1323"
"436","3.699","1908"
"437","93.663","51933"
"438","317.889","27717"
"439","2.703","1885"
"440","0.22","1202"
"441","1.713","2885"
"442","32.172","3642"
"443","2256.59","6020"
"444","2.327","3872"
"445","0","1962"
"446","50.202","7762"
"447","3.599","32677"
"448","2.085","2125"
"449","819.173","1747"
"450","30.754","6146"
"451","14.278","10752"
"452","2.835","134691"
"453","2.85","701203"
"454","1425.44","1696"
"455","43.251","5476"
"456","1945.821","5016"
"457","12.478","2259"
"458","0.016","7071"
"459","412.883","10915"
"460","1.104","1546"
"461","6.897","2947"
"462","33.696","31969"
"463","8.147","7879"
"464","2650.783","1077"
"465","25.84","27380"
"466","41.576","3251"
"467","11.697","1876"
"468","5.874","12082"
"469","11.144","7572"
"470","43.071","27245"
"471","46.697","5200"
"472","1.146","128623"
"473","0.743","6266"
"474","1374.815","1580"
"475","582.483","9697"
"476","48.772","6144"
"477","45.628","8023"
"478","13.519","3179"
"479","2.985","15906"
"480","31.509","129788"
"481","2.475","36188"
"482","5.841","3934"
"483","6.971","2990"
"484","0.385","7933"
"485","57.985","14133"
"486","1.209","1973"
"487","1089.732","3244"
"488","61.973","1196"
"489","56.458","10010"
"490","24.471","37801"
"491","88.133","32979"
"492","39.543","1275"
"493","44.746","1411"
"494","6.329","3932"
"495","0","2736"
"496","13.588","35915"
"497","63.326","21649"
"498","2.741","217539"
"499","661.605","4298"
"500","350.48","132519"
"501","17.778","14509"
"502","4.994","13241"
"503","33.037","1801"
"504","1149.744","1415"
"505","45.964","9037"
"506","38.529","1460"
"507","24.961","16267"
"508","0.963","1695"
"509","1796.705","1771"
"510","32.552","3236"
