"Name","Average coverage","Reference length"
"284","151.372","15404"
"285","38.172","3399"
"286","32.033","22625"
"287","76.364","392744"
"288","1697.045","1928"
"289","470.634","118383"
"290","756.635","1180"
"291","139.396","21510"
"292","701.881","8499"
"293","33.68","1192"
"294","18.761","1336"
"295","872.864","10333"
"296","58.211","1504"
"297","92.205","94103"
"298","162.653","29112"
"299","242.849","9244"
"300","82.529","618239"
"301","15.453","58669"
"302","54.832","2424"
"303","25.541","4439"
"304","544.678","77625"
"305","43.846","4858"
"306","108.685","5337"
"307","257.746","690123"
"308","803.622","10292"
"309","154.03","17689"
"310","73.006","319911"
"311","1832.766","3016"
"312","100.838","34446"
"313","589.592","1396"
"314","13.687","6278"
"315","67.374","9707"
"316","949.707","29095"
"317","35.816","24783"
"318","236.202","66844"
"319","437.113","2612"
"320","46.562","2048"
"321","16.46","2768"
"322","26.468","4935"
"323","1308.965","3100"
"324","35.579","3731"
"325","53.31","1983"
"326","43.71","1223"
"327","518.943","266838"
"328","874.494","41324"
"329","348.56","4099"
"330","30.487","1987"
"331","21.069","1312"
"332","1586.366","110748"
"333","100.346","8097"
"334","242.235","128484"
"335","594.301","21757"
"336","970.035","17785"
"337","24.59","12138"
"338","641.747","5364"
"339","28.802","5146"
"340","144.365","8734"
"341","3065.943","1573"
"342","568.022","119533"
"343","23.568","3598"
"344","251.327","2751"
"345","1461.12","95665"
"346","9.701","3129"
"347","427.73","106174"
"348","15.658","6729"
"349","38.188","1852"
"350","291.854","53122"
"351","51.414","3753"
"352","37.213","4768"
"353","8.989","3955"
"354","1826.968","1646"
"355","18.516","2173"
"356","55.369","18497"
"357","377.015","3338"
"358","46.612","63634"
"359","1841.009","1551"
"360","13.672","4192"
"361","236.372","13762"
"362","411.899","102418"
"363","59.657","42522"
"364","79.824","1896"
"365","808.41","2493"
"366","76.689","27827"
"367","538.843","5652"
"368","17.536","63343"
"369","1926.984","1139"
"370","20.654","23349"
"371","76.3","8535"
"372","23.222","4674"
"373","613.563","3847"
"374","74.665","10445"
"375","44.78","17146"
"376","194.395","3702"
"377","27.251","5625"
"378","84.588","335789"
"379","175.381","21315"
"380","1547.166","6598"
"381","9.513","1444"
"382","11.596","7131"
"383","1647.177","113083"
"384","877.385","5452"
"385","385.926","71072"
"386","252.422","267536"
"387","924.555","12458"
"388","33.895","40601"
"389","363.02","4448"
"390","251.47","5295"
"391","20.586","141187"
"392","9.089","3398"
"393","953.174","11910"
"394","96.923","16856"
"395","237.845","441570"
"396","1992.428","1939"
"397","14.996","1346"
"398","1803.162","1533"
"399","144.999","45791"
"400","84.557","4271"
"401","220.83","18403"
"402","87.046","131655"
"403","77.017","3000"
"404","30.498","2249"
"405","1038.292","2654"
"406","1819.846","3400"
"407","89.643","410260"
"408","131.861","2492"
"409","38.67","1577"
"410","29.577","3438"
"411","36.84","9673"
"412","186.627","24839"
"413","52.931","464646"
"414","314.558","2114"
"415","16.299","4808"
"416","44.367","33668"
"417","60.52","35364"
"418","344.2","1635"
"419","25.791","9371"
"420","152.189","2399"
"421","515.542","1588"
"422","524.771","41501"
"423","101.723","4697"
"424","838.214","7583"
"425","889.387","14179"
"426","67.028","19591"
"427","1326.233","4718"
"428","250.35","2694"
"429","355.433","2701"
"430","212.307","197348"
"431","109.928","6910"
"432","165.751","7569"
"433","49.748","1866"
"434","574.756","15851"
"435","42.728","1323"
"436","122.602","1908"
"437","152.144","51933"
"438","1429.107","27717"
"439","26.903","1885"
"440","9.606","1202"
"441","11.795","2885"
"442","220.823","3642"
"443","1470.385","6020"
"444","36.097","3872"
"445","11.874","1962"
"446","712.157","7762"
"447","84.547","32677"
"448","56.65","2125"
"449","860.531","1747"
"450","63.399","6146"
"451","150.244","10752"
"452","239.349","134691"
"453","81.62","701203"
"454","1278.922","1696"
"455","66.582","5476"
"456","1357.111","5016"
"457","82.226","2259"
"458","18.255","7071"
"459","1726.005","10915"
"460","52.406","1546"
"461","147.618","2947"
"462","835.955","31969"
"463","103.65","7879"
"464","2375.589","1077"
"465","152.633","27380"
"466","71.924","3251"
"467","168.426","1876"
"468","165.601","12082"
"469","335.552","7572"
"470","378.192","27245"
"471","523.537","5200"
"472","73.456","128623"
"473","78.696","6266"
"474","1438.827","1580"
"475","1496.777","9697"
"476","455.367","6144"
"477","40.336","8023"
"478","50.675","3179"
"479","19.956","15906"
"480","424.593","129788"
"481","114.122","36188"
"482","303.187","3934"
"483","226.27","2990"
"484","20.885","7933"
"485","77.984","14133"
"486","112.38","1973"
"487","1360.863","3244"
"488","1164.589","1196"
"489","605.455","10010"
"490","62.595","37801"
"491","616.515","32979"
"492","36.935","1275"
"493","113.613","1411"
"494","156.737","3932"
"495","14.901","2736"
"496","181.966","35915"
"497","150.264","21649"
"498","224.902","217539"
"499","937.125","4298"
"500","1673.013","132519"
"501","174.64","14509"
"502","90.574","13241"
"503","348.247","1801"
"504","1334.987","1415"
"505","138.073","9037"
"506","792.592","1460"
"507","156.373","16267"
"508","14.24","1695"
"509","1426.141","1771"
"510","406.067","3236"
"511","223.941","7558"
"512","169.029","6305"
"513","92.77","12504"
"514","251.196","119077"
"515","166.747","7120"
"516","71.527","1177"
"517","145.665","3850"
"518","230.772","6981"
"519","395.903","17895"
"520","1491.164","77540"
"521","27.56","1579"
"522","41.979","2513"
"523","390.717","95884"
"524","222.172","2316"
"525","101.881","1104"
"526","11.275","4524"
"527","224.552","196872"
"528","315.599","1665"
"529","43.828","4113"
"530","724.042","1023"
"531","379.12","52538"
"532","675.176","8249"
"533","822.002","5710"
"534","99.731","4586"
"535","763.977","1197"
"536","16.411","12715"
"537","55.839","778598"
"538","11.815","1181"
"539","11.354","2403"
"540","231.962","98085"
"541","226.694","14773"
"542","18.79","155887"
"543","144.992","7653"
"544","47.435","9268"
"545","9.631","3205"
