"cov.day3.b1","cov.day3.b2","cov.day3.b5","cov.day6.b7","cov.day6.b8","cov.day6.b9","cov.day9.b11","cov.day9.b12","cov.day9.b14","cov.day12.b16","cov.day12.b17","cov.day12.b19","cov.day19.b28","cov.day19.b32","cov.day19.b33","unnorm.day3.b1","unnorm.day3.b2","unnorm.day3.b5","unnorm.day6.b7","unnorm.day6.b8","unnorm.day6.b9","unnorm.day9.b11","unnorm.day9.b12","unnorm.day9.b14","unnorm.day12.b16","unnorm.day12.b17","unnorm.day12.b19","unnorm.day19.b28","unnorm.day19.b32","unnorm.day19.b33","unnorm.LG1","unnorm.LG2","unnorm.LG3","functional.category","protein.annotation","Accession","Taxa","norm.day3.b1","norm.day3.b2","norm.day3.b5","norm.day6.b7","norm.day6.b8","norm.day6.b9","norm.day9.b11","norm.day9.b12","norm.day9.b14","norm.day12.b16","norm.day12.b17","norm.day12.b19","norm.day19.b28","norm.day19.b32","norm.day19.b33","ave.unnorm.day3","ave.unnorm.day6","ave.unnorm.day9","ave.unnorm.day12","ave.unnorm.day19","ave.norm.day3","ave.norm.day6","ave.norm.day9","ave.norm.day12","ave.norm.day19"
"467-Prok_bin48-nitrate-transport",211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.639,1.1478,0.996664226,1.2203,1.0031,0.984813035,0.8209,0.6145,0.815993905,1.257,0.9874,0.715720892,0.983,0.9956,1.253637791,1.0275,0.6236,0.812865615,"nitrate-transport","kegg:nitrate_ABC_transporter_inner_membrane_subunit_uniprot:A0A2G4F077_9CYAN_Nitrate_ABC_transporter_permease_protein_(TrEMBL)_pfam:BPD_transp_1","Prok_bin48_NODE_43_length_162479_cov_257.185_75","Prok_bin48",0.0302330847631873,0.418787850877755,0.0870973542047128,0.0647983029945188,0.0578049990039745,0.0564495822924342,0.0632260232445803,0.0276700860206238,0.0426367533853241,0.181582787384772,0.0346126201318241,0.0300992781220382,0.0391754871126098,0.0344829250374328,0.0350760192440894,0.927821408666667,1.069404345,0.750464635,0.986706964,1.077412597,0.178706096615218,0.0596842947636425,0.0445109542168427,0.0820982285462114,0.0362448104647106
"468-Prok_bin48-nitrate-transport",211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.7355,0.8056,0.825303257,1.6042,0.8644,1.000057578,0.954,0.6498,0.783795178,1.3029,1.1529,0.896682143,1.3019,0.7304,1.532652259,1.3169,0.6811,1.313144326,"nitrate-transport","kegg:nitrate_ABC_transporter_ATPase_subunits_C_and_D_uniprot:K9VI18_9CYAN_Nitrate_ABC_transporter_ATPase_subunits_C_and_D_(TrEMBL)_pfam:AAA_16","Prok_bin48_NODE_43_length_162479_cov_257.185_76","Prok_bin48",0.0347988010067672,0.293932298891026,0.0721223138405613,0.0851835103366444,0.04981222324697,0.0573234010316318,0.0734774347366666,0.0292595962509379,0.0409543276049252,0.188213376041066,0.0404141075045371,0.0377095115021768,0.0518846049561614,0.025297638054782,0.0428826735418516,0.788801085666667,1.15621919266667,0.795865059333333,1.11749404766667,1.18831741966667,0.133617804579451,0.064106378205082,0.0478971195308432,0.0887789983492598,0.0400216388509317
"469-Prok_bin48-nitrate-transport",211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.6747,0.8534,0.735905886,1.5313,0.8722,1.002078414,0.9703,0.9087,0.815519273,1.163,1.3119,0.804382801,1.2666,0.9798,1.327284217,1.4924,1.0371,1.290656567,"nitrate-transport","kegg:nitrate_ABC_transporter_ATPase_subunits_C_and_D_uniprot:F5UF92_9CYAN_Nitrate_ABC_transporter_ATPase_subunits_C_and_D_(TrEMBL)_pfam:AAA","Prok_bin48_NODE_43_length_162479_cov_257.185_77","Prok_bin48",0.0319221632077034,0.311372671143994,0.0643099791707333,0.0813124980541725,0.0502617088338815,0.0574392355545588,0.0747328667976809,0.0409175055605222,0.042611953239871,0.168003804079944,0.0459877418988657,0.0338279096146366,0.0504777944830433,0.0339356869743639,0.037136601235299,0.754668628666667,1.13519280466667,0.898173091,1.093094267,1.19122807233333,0.135868271174143,0.0630044808142043,0.0527541085326914,0.0826064851978155,0.040516694230902
"612-Prok_bin48-nitrate-transport",211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.9492,1.287,0.972732544,1.8922,1.0165,0.966069996,1.0293,0.6793,0.837616563,1.6147,1.0748,0.774428606,1.1173,0.9283,0.904940546,2.7722,0.9202,1.096542597,"nitrate-transport","kegg:nitrate_ABC_transporter_ATPase_subunits_C_and_D_uniprot:F5UG31_9CYAN_Nitrate_ABC_transporter_ATPase_subunits_C_and_D_(TrEMBL)_pfam:AAA","Prok_bin48_NODE_78_length_117289_cov_262.416_8","Prok_bin48",0.0449096151130162,0.469576549991001,0.0850059917082038,0.100476398366163,0.0585771921917457,0.0553752294103759,0.0792770687363217,0.0305879404944016,0.0437665656682739,0.233255152577718,0.0376763663334864,0.0325682011775846,0.0445277433885238,0.0321519679713227,0.0253196834317934,1.06964418133333,1.29158999866667,0.848738854333333,1.15464286866667,0.983513515333333,0.199830718937407,0.0714762733227615,0.0512105249663324,0.10116657336293,0.03399979826388
